Timestamp,RPM_Kanan,RPM_Kiri,Position_Kanan (deg),Position_Kiri (deg),Distance_Kanan (cm),Distance_Kiri (cm),Current_Kanan,Current_Kiri,Speed_Kanan,Speed_Kiri,Angular_Velocity (deg/s)
1719462090.675688,0,1,94.58823529411765,108.70588235294117,0.0,0.005528722423004498,0.1562547685171065,0.09302041688283946,0.0,0.5235983333333334,-1.2000000000000002
1719462090.698113,1,1,91.76470588235294,112.94117647058823,0.017272014473492966,0.017272014473492966,0.5432294686727506,0.08667256691183223,0.5235983333333334,0.5235983333333334,-2.4000000000000004
1719462090.719014,2,4,87.52941176470588,115.76470588235294,0.05644070587718556,0.11288141175437112,0.5735038300729389,0.5930356761375775,1.0471966666666668,2.0943933333333336,-7.200000000000001
1719462090.738881,6,8,83.29411764705883,120.0,0.23174944319167223,0.3089992575888963,0.5666676839503157,0.47389141514328426,3.14159,4.188786666666667,-16.8
1719462090.7622368,11,12,79.05882352941177,122.82352941176471,0.5594234937463687,0.6102801749960386,0.49635303811761844,0.49220252082888294,5.759581666666667,6.28318,-27.6
1719462090.7842371,15,16,76.23529411764706,127.05882352941177,0.9356458890640169,0.9980222816682845,0.4587542344431892,0.4074831385235145,7.853975,8.377573333333334,-37.20000000000001
1719462090.8056011,17,18,73.41176470588235,129.88235294117646,1.2505547427236907,1.32411678641332,0.24146244697409003,0.24317148350474582,8.901171666666666,9.424769999999999,-42.0
1719462090.827839,18,19,70.58823529411765,132.7058823529412,1.533705150712818,1.6189109924190856,0.1149937437055577,0.14209418012024333,9.424769999999999,9.948368333333333,-44.39999999999999
1719462090.8491142,19,20,67.76470588235294,135.52941176470588,1.830162292759878,1.9264866239577665,0.0471205786309401,0.10864589373454958,9.948368333333333,10.471966666666667,-46.800000000000004
1719462090.8693929,20,20,64.94117647058823,138.35294117647058,2.138986905237914,2.138986905237914,0.056886501663258926,0.07837153233436123,10.471966666666667,10.471966666666667,-48.0
1719462090.892457,20,21,62.11764705882353,141.1764705882353,2.3806687741626047,2.4997022128707354,0.09985656300546353,0.07910397656178514,10.471966666666667,10.995565,-49.2
1719462090.912871,20,21,60.705882352941174,142.58823529411765,2.5944948103229075,2.7242195508390536,0.1796929837946717,0.08594012268440832,10.471966666666667,10.995565,-49.2
1719462090.9340658,19,21,57.88235294117647,145.41176470588235,2.6756371259365266,2.9572831391930032,0.22730185857722773,0.07397686696981687,9.948368333333333,10.995565,-48.0
1719462090.955363,19,21,55.05882352941177,148.23529411764707,2.8875572958298497,3.191510695390886,0.2309640797143473,0.06811731315042557,9.948368333333333,10.995565,-48.0
1719462090.978592,19,21,52.23529411764706,151.05882352941177,3.1186588418625756,3.446938719953373,0.18579668568987096,0.08740501113925614,9.948368333333333,10.995565,-48.0
1719462090.999864,19,21,49.411764705882355,153.88235294117646,3.3302303457125584,3.6807809084191434,0.12451551866206856,0.10864589373454958,9.948368333333333,10.995565,-48.0
1719462091.021048,20,20,46.588235294117645,155.2941176470588,3.7272712122259524,3.7272712122259524,0.095950193792536,0.12427137058626059,10.471966666666667,10.471966666666667,-48.0
1719462091.042349,20,20,43.76470588235294,158.11764705882354,3.9503650489797306,3.9503650489797306,0.1232947782830287,0.08911404766991193,10.471966666666667,10.471966666666667,-48.0
1719462091.0648131,20,21,42.35294117647059,160.94117647058823,4.185093570745793,4.394348249283082,0.22901089510788353,0.07251197851496904,10.471966666666667,10.995565,-49.2
1719462091.087305,19,21,39.529411764705884,163.76470588235293,4.199767879635374,4.641848709070676,0.2258369701223799,0.08154545731986484,9.948368333333333,10.995565,-48.0
1719462091.108951,19,21,36.705882352941174,166.58823529411765,4.415331253899925,4.880102964836759,0.19165623950926225,0.10425122837000611,9.948368333333333,10.995565,-48.0
1719462091.131767,19,21,33.88235294117647,169.41176470588235,4.642412466983932,5.131087463508558,0.14355906857509027,0.12866603595080406,9.948368333333333,10.995565,-48.0
1719462091.1547499,19,20,31.058823529411764,170.8235294117647,4.8709073192640675,5.127270862383229,0.09619434186834397,0.15503402813806577,9.948368333333333,10.471966666666667,-46.800000000000004
1719462091.176472,20,20,28.235294117647058,173.64705882352942,5.354823829487209,5.354823829487209,0.08935819574571902,0.1589403973509933,10.471966666666667,10.471966666666667,-48.0
1719462091.198477,20,20,25.41176470588235,176.47058823529412,5.585302944838913,5.585302944838913,0.12036500137333306,0.1191442609942932,10.471966666666667,10.471966666666667,-48.0
1719462091.220244,20,20,24.0,179.2941176470588,5.81328784338219,5.81328784338219,0.20728171636097237,0.09228797265541555,10.471966666666667,10.471966666666667,-48.0
1719462091.242097,19,21,21.176470588235293,182.11764705882354,5.7399348994500246,6.344138573076344,0.2087466048158202,0.07593005157628063,9.948368333333333,10.995565,-48.0
1719462091.263867,19,21,18.352941176470587,184.94117647058823,5.9565110655547535,6.583512230349991,0.1804254280220956,0.0935087130344554,9.948368333333333,10.995565,-48.0
1719462091.287221,19,21,15.529411764705882,187.76470588235293,6.187980252653588,6.839346595038176,0.1284218878749961,0.12646870326853232,9.948368333333333,10.995565,-48.0
1719462091.308924,20,20,12.705882352941176,189.1764705882353,6.741650819102681,6.741650819102681,0.1025421918393512,0.18408764915921516,10.471966666666667,10.471966666666667,-48.0
1719462091.330386,20,20,9.882352941176471,192.0,6.966524812597609,6.966524812597609,0.08911404766991105,0.1879940183721427,10.471966666666667,10.471966666666667,-48.0
1719462091.352716,20,20,7.0588235294117645,194.8235294117647,7.200334543787594,7.200334543787594,0.10889004181035844,0.12598040711691638,10.471966666666667,10.471966666666667,-48.0
