RPM_A,RPM_B,Position_A (deg),Position_B (deg),Distance_A (cm),Distance_B (cm),Current_A,Current_B,Speed_A,Speed_B,Angular_Velocity (deg/s),timestamp
0,0,344.47058823529414,352.94117647058823,0.0,0.0,0.1367229224524671,-0.13354899746696347,0.0,0.0,0.0,1719304093.8732722
1,-3,340.2352941176471,357.1764705882353,6.241778532663981e-07,-1.8725335597991944e-06,0.40601825006866576,-0.33057649464400196,0.5235983333333334,-1.570795,-4.800000000000001,1719304093.9055948
7,-8,333.1764705882353,2.823529411764706,6.241778532663981e-07,-1.8725335597991944e-06,0.7607654042176577,-0.709494308297983,3.665188333333333,-4.188786666666667,-18.0,1719304093.9386618
15,-17,321.88235294117646,12.705882352941176,8.114312092463176e-06,-1.0361352364222208e-05,0.6028015991698972,-0.8022705771050145,7.853975,-8.901171666666666,-38.400000000000006,1719304093.9769201
26,-27,310.5882352941176,26.823529411764707,2.4342936277389526e-05,-2.721415440241496e-05,0.6723838007751706,-0.7033906064027837,13.613556666666666,-14.137155,-63.6,1719304094.0103948
36,-39,296.47058823529414,40.94117647058823,2.4342936277389526e-05,-2.721415440241496e-05,0.2961516159550772,-0.12475966673787653,18.849539999999998,-20.420335,-90.0,1719304094.045532
43,-44,286.5882352941176,49.411764705882355,2.4342936277389526e-05,-2.721415440241496e-05,0.08227790154728787,-0.08716086306344817,22.51472833333333,-23.038326666666666,-104.39999999999999,1719304094.0786188
45,-47,276.70588235294116,62.11764705882353,2.4342936277389526e-05,-2.721415440241496e-05,0.03955198828089301,0.3923459578234194,23.561925,-24.609121666666667,-110.4,1719304094.11522
46,-48,266.8235294117647,70.58823529411765,5.305511752764384e-05,-5.717469135920207e-05,-0.16504409924619257,0.1921445356608782,24.085523333333335,-25.13272,-112.8,1719304094.15034
46,-47,256.94117647058823,79.05882352941177,5.305511752764384e-05,-5.717469135920207e-05,-0.07397686696981687,0.08154545731986396,24.085523333333335,-24.609121666666667,-111.60000000000001,1719304094.184505
46,-46,248.47058823529412,88.94117647058823,5.305511752764384e-05,-5.717469135920207e-05,0.120853297524949,-0.12378307443464465,24.085523333333335,-24.085523333333335,-110.4,1719304094.221765
44,-45,238.58823529411765,97.41176470588235,5.305511752764384e-05,-5.717469135920207e-05,0.16675313577684925,-0.10815759758293364,23.038326666666666,-23.561925,-106.8,1719304094.2581818
44,-45,228.7058823529412,107.29411764705883,8.051894307136535e-05,-8.526269475618998e-05,0.16016113773003404,-0.1315958128604997,23.038326666666666,-23.561925,-106.8,1719304094.292147
44,-45,218.8235294117647,117.17647058823529,0.00010249000350634256,-0.00010773309747378032,0.1423383281960504,-0.1381878109073149,23.038326666666666,-23.561925,-106.8,1719304094.330508
44,-45,208.94117647058823,127.05882352941177,0.00011896829883257547,-0.00012458589951197307,0.12622455519272435,-0.13940855128635476,23.038326666666666,-23.561925,-106.8,1719304094.365706
